what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.core,3.4.0.v20080612,org.eclipse.debug.core,1443162422191
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1443162422251
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1443162423361
started,bundle,org.eclipse.ltk.core.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.core.refactoring,1443162426451
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1443162426451
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162426641
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162431048
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1443162431058
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1443162431058
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162436539
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1443162448420
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162467843
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1443162472851
started,bundle,org.eclipse.pde.ui,3.4.0.v20080803-1700,org.eclipse.pde.ui,1443162473071
opened,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1443162473121
opened,view,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui.views.tasks,1443162473381
activated,perspective,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.JavaPerspective,1443162473401
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1443162473411
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162473591
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162473591
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1443162475451
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162487373
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162489223
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162491030
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1443162499780
